SampleID,latrine,treatment,month-collected,year-collected,replicate,pcr-plate-16s,latrine_trt,latrine_trt_month,trt_month,soilAge,trt_soilAge,trt_month_soilAge
51,L83,control,wet,2023,1,1,L83_control,L83_control_wet,control_wet,rgm,control_rgm,control_wet_rgm
52,L83,control,wet,2023,2,1,L83_control,L83_control_wet,control_wet,rgm,control_rgm,control_wet_rgm
53,L83,latrine,wet,2023,1,1,L83_latrine,L83_latrine_wet,latrine_wet,rgm,latrine_rgm,latrine_wet_rgm
54,L83,latrine,wet,2023,2,1,L83_latrine,L83_latrine_wet,latrine_wet,rgm,latrine_rgm,latrine_wet_rgm
55,L94,control,wet,2023,1,1,L94_control,L94_control_wet,control_wet,rgm,control_rgm,control_wet_rgm
56,L94,control,wet,2023,2,1,L94_control,L94_control_wet,control_wet,rgm,control_rgm,control_wet_rgm
57,L94,latrine,wet,2023,1,1,L94_latrine,L94_latrine_wet,latrine_wet,rgm,latrine_rgm,latrine_wet_rgm
58,L94,latrine,wet,2023,2,1,L94_latrine,L94_latrine_wet,latrine_wet,rgm,latrine_rgm,latrine_wet_rgm
59,L62,control,wet,2023,1,1,L62_control,L62_control_wet,control_wet,lia,control_lia,control_wet_lia
60,L62,control,wet,2023,2,1,L62_control,L62_control_wet,control_wet,lia,control_lia,control_wet_lia
61,L62,latrine,wet,2023,1,1,L62_latrine,L62_latrine_wet,latrine_wet,lia,latrine_lia,latrine_wet_lia
62,L62,latrine,wet,2023,2,1,L62_latrine,L62_latrine_wet,latrine_wet,lia,latrine_lia,latrine_wet_lia
49,L91,latrine,dry,2023,1,1,L91_latrine,L91_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
50,L91,latrine,dry,2023,2,1,L91_latrine,L91_latrine_dry,latrine_dry,rgm,latrine_rgm,latrine_dry_rgm
63,L57A,control,wet,2023,1,1,L57A_control,L57A_control_wet,control_wet,rgm,control_rgm,control_wet_rgm
64,L57A,control,wet,2023,2,1,L57A_control,L57A_control_wet,control_wet,rgm,control_rgm,control_wet_rgm
65,L57A,latrine,wet,2023,1,1,L57A_latrine,L57A_latrine_wet,latrine_wet,rgm,latrine_rgm,latrine_wet_rgm
66,L57A,latrine,wet,2023,2,1,L57A_latrine,L57A_latrine_wet,latrine_wet,rgm,latrine_rgm,latrine_wet_rgm
67,L101,control,wet,2023,1,1,L101_control,L101_control_wet,control_wet,lia,control_lia,control_wet_lia
68,L101,control,wet,2023,2,1,L101_control,L101_control_wet,control_wet,lia,control_lia,control_wet_lia
